Epoch	Train_Loss	Train_Acc	Val_Loss	Val_Acc
1	1.6665	29.59%	1.3920	43.18%
2	1.5055	37.92%	1.3919	44.53%
3	1.4474	40.56%	1.2801	49.03%
4	1.4162	42.69%	1.3025	46.00%
5	1.3900	44.24%	1.2480	49.63%
6	1.3614	45.50%	1.2172	51.24%
7	1.3425	45.68%	1.2722	47.62%
8	1.3038	48.47%	1.1499	53.32%
9	1.2895	49.90%	1.1352	55.34%
10	1.2657	50.82%	1.1347	53.86%
11	1.2535	51.21%	1.1491	52.72%
12	1.2262	53.39%	1.2078	52.92%
13	1.2256	51.90%	1.0865	57.09%
14	1.2085	53.60%	1.1239	55.61%
15	1.1894	54.94%	1.1137	56.48%
16	1.1666	54.94%	1.1070	56.68%
17	1.1675	55.56%	1.0554	57.15%
18	1.1374	55.31%	1.0196	59.77%
19	1.1255	56.59%	1.0757	58.63%
20	1.1293	56.59%	1.0218	60.04%
21	1.0975	58.22%	1.0175	59.97%
22	1.0843	59.07%	1.0286	59.23%
23	1.0599	59.90%	1.0777	57.96%
24	1.0689	60.00%	0.9999	62.19%
25	1.0335	60.87%	0.9905	61.45%
26	1.0340	60.37%	1.0383	60.04%
27	1.0283	61.14%	1.0771	58.70%
28	1.0220	61.68%	0.9517	63.33%
29	0.9807	63.71%	0.9931	61.25%
30	0.9872	62.60%	0.9347	62.53%
31	0.9650	63.71%	1.0142	62.93%
32	0.9549	64.15%	0.9838	61.72%
33	0.9276	65.12%	0.9557	62.59%
34	0.9139	66.06%	0.9210	65.28%
35	0.8971	65.93%	1.0286	60.71%
36	0.8960	66.52%	0.9525	62.73%
37	0.8740	67.25%	0.9978	61.52%
38	0.8636	67.54%	0.9447	63.40%
39	0.8410	68.26%	0.9653	63.13%
40	0.8463	68.40%	0.9388	63.20%
41	0.7681	71.20%	0.9114	65.75%
42	0.7558	71.62%	0.9065	66.02%
43	0.7144	73.39%	0.8970	66.96%
44	0.7055	73.71%	0.9052	66.22%
45	0.6873	74.53%	0.9166	65.75%
46	0.6681	74.78%	0.9454	66.02%
47	0.6634	75.52%	0.9633	65.88%
48	0.6381	76.18%	0.8917	68.37%
49	0.6136	76.97%	0.9743	65.95%
50	0.6260	76.46%	0.9235	66.29%
51	0.6037	78.09%	0.9143	67.97%
52	0.5987	77.45%	0.9404	67.83%
53	0.5687	79.12%	0.9494	66.22%
54	0.5651	79.20%	0.9566	67.49%
55	0.5116	81.12%	0.9856	67.43%
56	0.4942	81.91%	0.9951	67.43%
57	0.4663	82.71%	0.9684	67.63%
58	0.4705	82.63%	0.9794	68.23%
59	0.4591	83.32%	0.9964	66.69%
60	0.4513	83.80%	0.9899	68.17%
